DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,GR,NBGRCFM,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT
1875.5,,,,,17.5,,,88.7773,,,,0.7681,0.6998,0.6594,,0.6951,36.5743,0.6951,0.6594,0.6951
1875.6,,,,,17.5,,,94.6323,,,,0.7659,0.6997,0.6629,,0.6954,36.4372,0.6954,0.6629,0.6954
1875.7,,,,,17.5,,,97.6453,,,,0.7648,0.699,0.6621,,0.6966,36.554,0.6966,0.6621,0.6966
1875.8,,,,,17.5,,,90.9165,,,,0.7651,0.698,0.6639,,0.6962,36.6708,0.6962,0.6639,0.6962
1875.9,,,,,17.5,,,91.2832,,,,0.7627,0.6985,0.6651,,0.6953,36.7873,0.6953,0.6651,0.6953
1876.0,,,,,17.5,,,96.1874,,,,0.7586,0.6975,0.6675,,0.6968,36.7877,0.6968,0.6675,0.6968
1876.1,,,,,17.5,,,97.2656,,,,0.7521,0.6969,0.6569,,0.6859,36.7882,0.6859,0.6569,0.6859
1876.2,,,,,17.5,,,94.823,,,,0.7703,0.6989,0.6472,,0.6737,36.7886,0.6737,0.6472,0.6737
1876.3,,,,,17.5,,,89.9581,,,,0.7559,0.6973,0.6495,,0.6793,36.7973,0.6793,0.6495,0.6793
1876.4,,,,,17.5,,,85.8717,,,,0.7531,0.6949,0.6529,,0.6848,36.8059,0.6848,0.6529,0.6848
1876.5,,,,,17.5,,,87.3142,,,,0.7513,0.6951,0.6579,,0.6922,36.8145,0.6922,0.6579,0.6922
1876.6,,,,,17.5,,,83.5924,,,,0.7522,0.6942,0.6686,,0.7108,36.8191,0.7107,0.6686,0.7108
1876.7,,,,,17.5,,,79.2934,,,,0.7319,0.6867,0.6872,,0.7758,36.8236,0.7757,0.6872,0.7758
1876.8,,,,,17.5,,,81.0565,,,,0.7696,0.6826,0.7062,,0.8441,36.8282,0.8442,0.7062,0.8441
1876.9,,,,,17.5,,,79.5559,,,,0.8226,0.7028,0.6574,,0.7302,36.8381,0.7302,0.6574,0.7302
1877.0,,,,,17.5,,,81.7983,,,,0.8167,0.7045,0.6435,,0.6717,36.8479,0.6717,0.6435,0.6717
