DEPTH,ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,DTS,GR,NPHI,PEF,RACEHM,RACELM,RHOB,ROP,RPCEHM,RPCELM,RT
489.3,,,,,26.0,,,,,62.1561,,,1.5366,1.4181,,50.3536,1.5334,1.4296,1.5334
489.4,,,,,26.0,,,,,59.9298,,,1.556,1.4193,,50.326,1.4869,1.4308,1.4869
489.5,,,,,26.0,,,,,58.0609,,,1.5751,1.4205,,50.2984,1.4406,1.4321,1.4406
489.6,,,,,26.0,,,,,60.442,,,1.5186,1.4335,,50.2708,1.4726,1.4365,1.4726
489.7,,,,,26.0,,,,,61.7924,,,1.5292,1.4125,,50.2751,1.4785,1.4303,1.4785
489.8,,,,,26.0,,,,,62.1399,,,1.5243,1.4241,,50.2793,1.4827,1.4601,1.4827
489.9,,,,,26.0,,,,,61.4834,,,1.5196,1.4358,,50.2835,1.487,1.4897,1.487
490.0,,,,,26.0,,,,,61.096,,,1.5482,1.4396,,50.2985,1.4833,1.499,1.4833
490.1,,,,,26.0,,,,,60.4901,,,1.5579,1.4293,,50.3135,1.4994,1.4595,1.4994
490.2,,,,,26.0,,,,,59.3997,,,1.5676,1.419,,50.3285,1.5157,1.4203,1.5157
490.3,,,,,26.0,,,,,60.5958,,,1.5428,1.4342,,50.3436,1.5735,1.4666,1.5735
490.4,,,,,26.0,,,,,61.3688,,,1.5586,1.4381,,50.3587,1.5341,1.4536,1.5341
490.5,,,,,26.0,,,,,61.6941,,,1.5432,1.4313,,50.3738,1.5388,1.4517,1.5388
490.6,,,,,26.0,,,,,61.1782,,,1.5278,1.4245,,50.3586,1.5434,1.4497,1.5434
490.7,,,,,26.0,,,,,64.5894,,,1.5328,1.4337,,50.3434,1.4673,1.4365,1.4673
490.8,,,,,26.0,,,,,65.043,,,1.5428,1.4285,,50.3282,1.4696,1.4365,1.4696
490.9,,,,,26.0,,,,,62.9245,,,1.5527,1.4232,,50.3317,1.4723,1.4365,1.4723
491.0,,,,,26.0,,,,,63.5655,,,1.5405,1.4365,,50.3352,1.5695,1.453,1.5695
491.1,,,,,26.0,,,,,64.9453,,,1.5344,1.4298,,50.3387,1.5223,1.453,1.5223
491.2,,,,,26.0,,,,,65.4229,,,1.5518,1.4294,,50.3399,1.5527,1.451,1.5527
491.3,,,,,26.0,,,,,63.2882,,,1.5692,1.4289,,50.3412,1.5827,1.4491,1.5827
491.4,,,,,26.0,,,,,65.9414,,,1.551,1.4346,,50.3424,1.5068,1.4472,1.5068
491.5,,,,,26.0,,,,,66.5177,,,1.5592,1.4286,,50.3437,1.5232,1.451,1.5232
491.6,,,,,26.0,,,,,66.0367,,,1.5672,1.4225,,50.3449,1.5395,1.4547,1.5395
491.7,,,,,26.0,,,,,68.0545,,,1.5203,1.4143,,50.3461,1.4832,1.3741,1.4832
491.8,,,,,26.0,,,,,66.9849,,,1.5206,1.4223,,50.325,1.4576,1.4472,1.4576
491.9,,,,,26.0,,,,,64.5201,,,1.5373,1.417,,50.304,1.4909,1.4374,1.4909
492.0,,,,,26.0,,,,,60.1705,,,1.5539,1.4117,,50.2831,1.5238,1.4277,1.5238
492.1,,,,,26.0,,,,,62.8532,,,1.5122,1.4247,,50.2982,1.4558,1.4295,1.4558
492.2,,,,,26.0,,,,,64.1287,,,1.5268,1.4221,,50.3133,1.4292,1.4025,1.4292
492.3,,,,,26.0,,,,,64.1609,,,1.5412,1.4196,,50.3284,1.4027,1.3759,1.4027
492.4,,,,,26.0,,,,,63.5495,,,1.4944,1.4189,,50.3435,1.4534,1.4359,1.4534
492.5,,,,,26.0,,,,,61.5629,,,1.5512,1.4112,,50.3586,1.5453,1.4283,1.5453
492.6,,,,,26.0,,,,,60.2642,,,1.5303,1.4041,,50.3736,1.4941,1.4199,1.4941
492.7,,,,,26.0,,,,,60.4795,,,1.5095,1.397,,50.3416,1.4431,1.4115,1.4431
492.8,,,,,26.0,,,,,61.4434,,,1.5143,1.4173,,50.3097,1.4839,1.4194,1.4839
492.9,,,,,26.0,,,,,61.372,,,1.5393,1.4062,,50.2778,1.4821,1.3949,1.4821
493.0,,,,,26.0,,,,,60.4078,,,1.5354,1.4043,,50.2943,1.4566,1.3964,1.4566
493.1,,,,,26.0,,,,,60.775,,,1.5315,1.4025,,50.3108,1.4314,1.398,1.4314
493.2,,,,,26.0,,,,,63.1412,,,1.5424,1.4094,,50.3274,1.4715,1.4163,1.4715
493.3,,,,,26.0,,,,,65.3211,,,1.5331,1.4044,,50.3286,1.4628,1.3895,1.4628
493.4,,,,,26.0,,,,,59.2125,,,1.5238,1.3993,,50.3298,1.4541,1.3627,1.4541
493.5,,,,,26.0,,,,,58.4167,,,1.5204,1.4054,,50.3066,1.4189,1.3733,1.4189
493.6,,,,,26.0,,,,,59.1702,,,1.51,1.4108,,41.811,1.283,1.3745,1.283
493.7,,,,,26.0,,,,,61.5647,,,1.5012,1.4077,,33.3153,1.3319,1.3823,1.3319
493.8,,,,,26.0,,,,,65.6925,,,1.4924,1.4047,,24.835,1.3805,1.39,1.3805
493.9,,,,,26.0,,,,,64.6549,,,1.4853,1.4157,,21.6301,1.3578,1.3639,1.3578
494.0,,,,,26.0,,,,,63.0608,,,1.4927,1.4054,,18.4252,1.3528,1.3674,1.3528
494.1,,,,,26.0,,,,,66.1428,,,1.5001,1.3951,,15.2256,1.3479,1.3709,1.3479
494.2,,,,,26.0,,,,,68.8282,,,1.4865,1.3926,,13.9089,1.3856,1.3615,1.3856
494.3,,,,,26.0,,,,,68.6514,,,1.4941,1.4077,,12.5922,1.3679,1.3472,1.3679
494.4,,,,,26.0,,,,,65.2054,,,1.4969,1.4013,,11.2755,1.3792,1.3711,1.3792
494.5,,,,,26.0,,,,,58.4126,,,1.4998,1.3949,,9.9541,1.3908,1.395,1.3908
494.6,,,,,26.0,,,,,56.3598,,,1.5176,1.405,,8.6327,1.4439,1.4152,1.4439
494.7,,,,,26.0,,,,,56.6079,,,1.5138,1.3983,,7.3179,1.4614,1.4139,1.4614
494.8,,,,,26.0,,,,,60.2295,,,1.5099,1.3916,,8.2786,1.479,1.4126,1.479
494.9,,,,,26.0,,,,,58.5899,,,1.5267,1.4067,,9.2392,1.4499,1.3853,1.4499
495.0,,,,,26.0,,,,,57.7858,,,1.4271,1.3959,,10.2099,1.4982,1.4051,1.4982
495.1,,,,,26.0,,,,,58.1203,,,1.3981,1.397,,14.6467,1.4937,1.3937,1.4937
495.2,,,,,26.0,,,,,59.6548,,,1.3692,1.3981,,19.0836,1.4889,1.3821,1.4889
495.3,,,,,26.0,,,,,57.5201,,,1.3853,1.4134,,23.5207,1.3658,1.3586,1.3658
495.4,,,,,26.0,,,,,55.7252,,,1.3719,1.4102,,28.0457,1.3648,1.3494,1.3648
495.5,,,,,26.0,,,,,58.261,,,1.3585,1.4071,,32.5707,1.3638,1.3402,1.3638
495.6,,,,,26.0,,,,,59.8003,,,1.3459,1.4048,,37.0951,1.3618,1.3534,1.3618
495.7,,,,,26.0,,,,,60.2289,,,1.3392,1.4063,,41.3465,1.362,1.3528,1.362
495.8,,,,,26.0,,,,,59.8644,,,1.3325,1.4079,,45.5979,1.3623,1.3522,1.3623
495.9,,,,,26.0,,,,,61.6914,,,1.3319,1.3994,,49.8371,1.3694,1.3448,1.3694
496.0,,,,,26.0,,,,,59.2963,,,1.3265,1.4,,49.8793,1.385,1.3494,1.385
496.1,,,,,26.0,,,,,56.7771,,,1.3315,1.3998,,49.9215,1.3875,1.352,1.3875
496.2,,,,,26.0,,,,,57.3832,,,1.3365,1.3996,,49.9637,1.3901,1.3546,1.3901
496.3,,,,,26.0,,,,,56.5307,,,1.3451,1.3958,,50.0149,1.3765,1.3517,1.3765
